,ticker,growth,price,trailingAnnualDividendYield,payoutRatio,trailingAnnualDividendRate,dividendRate,priceToSalesTrailing12Months,forwardPE,fiveYearAvgDividendYield,dividendYield,profitMargins,forwardEps,bookValue,trailingEps,priceToBook,pegRatio,trailingPE,earningsQuarterlyGrowth
0,AVTR,0.11824953445065178,24.03,,0,,,2.2986567,23.782179,,,0.03317,1.01,2.667,0.232,9.006374,1.39,103.534485,
0,AVY,0.11572052401746746,133.04000000000002,0.017685624,0.3766,2.32,2.32,1.6341164,19.889223,1.93,0.0177,0.07678,6.68,14.547,6.141,9.133155,2.72,21.634914,-0.444
0,AWK,0.09390791690061784,156.18,0.013161274,0.5824,2.05,2.2,7.653782,36.846336,1.83,0.014099999,0.1729,4.23,34.978,3.52,4.4559436,4.89,44.278408,0.035
0,AWR,-0.0005171299288945219,77.235,0.015768385,0.5351,1.22,1.34,5.9674163,31.814814,1.79,0.0173,0.1766,2.43,16.79,2.277,4.604526,6.29,33.952568,-0.044
0,AX,0.07773279352226736,26.64,,0,,,2.9518988,9.822879,,,0.34070998,2.71,20.562,2.98,1.2946211,1.03,8.932886,0.115
0,AXP,0.003845044698644662,104.155,0.016410649,0.3561,1.72,1.72,2.4542606,15.289898,1.53,0.0164,0.11886,6.83,26.164,4.862,3.9913623,3.2,21.478815,-0.854
0,AXTA,0.1061259706643658,25.765,,0,,,1.5708637,16.33121,,,0.01994,1.57,5.153,0.327,4.9757423,12.7,78.40978,
0,AYI,-0.11598630010182354,95.47999999999999,0.005369682,0.0829,0.52,0.52,1.1380128,10.79096,0.35,0.0054,0.074650005,8.85,54.135,6.27,1.7641083,-17.44,15.23126,-0.233
0,AZN,-0.02972673559822747,52.64,0.052641474,1.7073,2.8,1.4,5.3433976,20.688976,3.86,0.026300002,0.083579995,2.54,4.6635,0.8185,11.268361,1.43,64.20281,4.815
0,AZO,-0.018458501274985606,1219.5549999999998,,0,,,2.2081792,14.312822,,,0.13719,83.37,-37.559,71.93,,2.83,16.589184,0.31
0,AZZ,-0.010475651189127855,35.019999999999996,0.019101124,1.1930001,0.68,0.68,0.9561485,12.306338,1.43,0.0191,0.01589,2.84,24.219,0.578,1.443082,1.8,60.46713,
0,B,0.06041165463779752,38.82,0.016550297,0.2807,0.64,0.64,1.5313817,20.661457,1.17,0.0166,0.08941,1.92,24.927,2.283,1.591447,2.4,17.376259,-0.985
0,BABA,0.06003539823008852,300.05,,0,,,,25.292229,,,0.31997,11.84,24.798,9.31,12.0759735,62.3,32.165413,1.216
0,BAC,-0.05884645362431806,24.16,0.030482642,0.3478,0.72,0.72,2.8468533,11.555024,1.73,0.0305,0.2642,2.09,28.335,2.03,0.85230285,11.18,11.896552,-0.155
0,BAF,0.011180992313067684,14.469999999999999,0.044953518,0.33810002,0.646,0.74,13.782773,,5.33,0.0514,1.7932,,15.986,1.883,0.90516704,,7.684546,1.55
0,BAH,-0.05102395001735516,82.04499999999999,0.013597183,0.32,1.12,1.24,1.4881296,19.811594,1.61,0.0150999995,0.06511,4.14,6.386,3.503,12.8437195,1.88,23.414215,0.102
0,BAP,-0.0909022443139027,120.75,0.020152343,1.4678999,2.434,8.8,,10.352488,2.51,0.0729,0.18115999,11.66,62.015,11.505,1.9464645,114.67,10.49196,
0,BAX,-0.03486282496705395,79.9,0.0113068465,0.50560004,0.905,0.98,3.5742376,21.950953,1.28,0.012200001,0.080979995,3.67,15.932,1.788,5.05649,2.62,45.055927,-0.214
0,BBDO,-0.09076616706844132,3.37,0.09763314,0.35169998,0.33,0.15,,,2.06,0.0444,0.27454,,4.549,0.7,0.76280504,,4.957143,-0.42
0,BBF,0.016266460108443015,12.805,0.047273032,0.9944,0.62,0.61,13.933653,,5.68,0.0462,0.65734,,14.139,0.619,0.9279298,,21.195477,
0,BBK,0.017060367454068137,15.535,0.042139173,0.2838,0.654,0.78,13.986746,,5.18,0.050300002,2.0773802,,17.225,2.302,0.89985484,,6.7332754,2.271
0,BBY,0.11485111891991862,120.185,0.018152652,0.3415,2.15,2.2,0.7184745,16.980282,2.52,0.0186,0.03751,7.1,14.643,6.184,8.233286,2.25,19.495472,0.815
0,BCC,-0.025354733658990547,41.915000000000006,0.009310097,0.1757,0.39,0.4,0.34325987,14.060403,,0.0089,0.01831,2.98,18.872,2.22,2.2202206,1.13,18.873875,0.212
0,BCEI,0.08225556130367329,20.905,,0,,,1.7334048,6.792208,,,0.28908002,3.08,46.962,3.5,0.44546652,0.44,5.977143,
0,BCH,-0.11554252199413495,14.54,0.00033333333,0.64910007,0.005,0.83,,10.771429,4.01,0.0557,0.34383,1.4,10.0,1.8,1.508,3,8.377778,-0.419
