,ticker,growth,price,trailingAnnualDividendYield,payoutRatio,trailingAnnualDividendRate,dividendRate,priceToSalesTrailing12Months,forwardPE,fiveYearAvgDividendYield,dividendYield,profitMargins,forwardEps,bookValue,trailingEps,priceToBook,pegRatio,trailingPE,earningsQuarterlyGrowth
0,BFY,0.023477622890682115,13.995000000000001,0.042302158,0.3186,0.588,0.73,13.634417,,4.78,0.052199997,1.81553,,16.204,1.858,0.8608985,,7.508073,1.258
0,BFZ,-0.011227544910179521,13.3,0.03566009,0.4319,0.47,0.46,16.122272,,4.84,0.0346,1.28536,,15.859,1.053,0.8329655,,12.54511,-0.794
0,BGS,-0.032881355932203316,28.75,0.06466985,1.0734,1.9,1.9,0.99577177,14.630769,6.45,0.0647,0.0622,1.95,12.736,1.778,2.2401068,2.28,16.04612,1.461
0,BGSF,-0.06501547987616085,9.25,0.075675674,2.7143,0.7,0.2,0.32415792,9.847826,6.3,0.0216,0.01255,0.92,5.988,0.351,1.5130261,-7.6,25.811966,
0,BGT,0.001771479185119773,11.33,0.080509216,1.8274001,0.917,0.92,10.616365,,5.85,0.0805,2.16637,,12.59,0.529,0.89833206,,21.379963,
0,BGY,0.007547169811320753,5.359999999999999,0.07588785,6.76,0.406,0.41,28.83217,,8.21,0.0758,0.25821,,5.874,0.048,0.90909094,,111.25,
0,BHE,0.06287128712871293,21.485,0.029162746,20.666698,0.62,0.64,0.37824428,17.455284,,0.0301,0.00031,1.23,26.998,0.014,0.7952441,1.82,1533.5713,
0,BHP,-0.03835412399925531,51.705,0.023161553,0.91080004,1.2,2.2,3.0838892,25.318628,4.7,0.0425,0.18531999,2.04,18.956,3.14,2.7247312,,16.449045,-0.32
0,BHV,0.029728020240354258,18.205,0.03520612,0.34759998,0.578,0.55,16.041021,,4.2,0.033299997,1.62255,,15.865,1.648,1.0264734,,9.881675,1.876
0,BIG,0.21517553793884492,53.150000000000006,0.022560634,0.0657,1.2,1.2,0.35951257,8.838551,2.84,0.0226,0.12325,6.07,33.838,18.335,1.5854956,0.73,2.9260979,72.158
0,BIO,0.1493918179377569,557.27,,0,,,7.151302,54.834484,,,0.84889,10.15,247.77,64.502,2.2463171,3.69,8.628725,0.614
0,BJ,-0.010084033613445453,41.125,,0,,,0.3934967,17.323528,,,0.0207,2.38,0.864,2.158,47.719906,0.73,19.105654,0.955
0,BKD,0.0034482758620690834,2.975,,0,,,0.16388802,-3.9863014,,,0.02497,-0.73,5.118,0.44,0.56858146,0.25,6.6136365,
0,BKE,0.12850812407680956,23.39,0.023305085,0.28059998,0.55,1.2,1.3700417,11.46,4.64,0.0508,0.11598,2,8.505,1.958,2.6948853,-1.31,11.705823,1.118
0,BKH,0.03858520900321549,58.165000000000006,0.036223173,0.66980004,2.11,2.14,2.1881516,15.023256,2.95,0.0367,0.117,3.87,40.055,3.159,1.4515041,3.21,18.404558,0.438
0,BKI,0.1675861223489028,95.215,,0,,,12.642042,41.955948,,,0.11784001,2.27,15.786,0.941,6.0331936,5.19,101.21148,0.199
0,BKK,0.0013342228152100066,14.805,0.015528156,1.1519,0.233,3.11,35.37221,,2.94,0.20709999,0.42683,,15.092,0.181,0.99423534,,82.90056,-0.653
0,BKT,-0.0032626427406198255,6.13,0.0675941,1.3316001,0.413,0.41,16.160559,,5.89,0.067600004,0.84751,,6.324,0.32,0.9661607,,19.09375,-0.414
0,BKU,-0.01887550200803212,24.810000000000002,0.03613963,0.4,0.88,0.92,3.105221,9.324428,2.62,0.0378,0.29057,2.62,29.81,2.165,0.8195237,1.44,11.284065,-0.061
0,BLD,0.2598473076143504,186.98,,0,,,2.3330278,23.484886,,,0.078379996,7.94,37.152,6.14,5.0191107,1.37,30.369707,0.066
0,BLE,0.031658637302133474,14.64,0.046153843,0.3845,0.696,0.74,14.195253,,5.48,0.0493,1.7099401,,15.536,1.806,0.9648558,,8.300111,2.304
0,BLK,0.16426686502665455,651.985,0.021957787,0.4714,14.19,14.52,6.383585,19.065546,2.48,0.0227,0.29833,34.48,214.679,30.111,3.0621533,2.02,21.831888,0.219
0,BLL,0.10852431187098333,91.485,0.0066072023,0.5505,0.6,0.6,2.65187,28.658306,0.79,0.0066000004,0.032780003,3.19,8.462,1.092,10.803593,3.02,83.71795,-0.523
0,BLW,-0.01078894133513153,14.73,0.07561552,0.7512,1.121,1.18,12.305395,,6.86,0.0794,1.24809,,15.645,1.24,0.93767977,,11.830646,
